"","x"
"580","ablim1"
"581","c1orf159"
"582","slc7a4"
"583","pgd"
"584","fam129b"
"585","oxct1"
"586","zc2hc1a"
"587","ccni"
"588","lyn"
"589","vwa5a"
"590","ldhd"
"591","suclg1"
"592","tpgs2"
"593","ap1m2"
"594","krt5.7"
"595","acads"
"596","rarres1"
"597","ndfip2"
"598","ap1s3"
"599","inpp5a.1"
"600","dbp"
"601","ptgr2"
"602","hpd"
"603","hsd17b4"
"604","sfxn3"
"605","pitrm1"
"606","mpc2"
"607","erg28"
"608","anxa4"
"609","fech"
"610","gfpt2"
"611","mal"
"612","cmtm8"
"613","capns1"
"614","cd38"
"615","btnl8"
"616","cth"
"617","mgat3"
"618","tbxas1"
"619","lrp2bp"
"620","dgka"
"621","nek11"
"622","idua"
"623","atp6v1b2"
"624","ftmt"
"625","camk2g"
"626","hsd17b10"
"627","adad2"
"628","hsd17b13"
"629","gstp1"
"630","gstm1"
"631","meis1"
"632","specc1"
"633","cbx8"
"634","pacrgl"
"635","nedd4l"
"636","tdh"
"637","slc49a3"
"638","nkx3-1"
"639","stat6"
"640","tmem117"
"641","agbl5"
"642","pip5k1c"
"643","sgsm3"
"644","kif13b"
"645","cc2d1b"
"646","rnf217"
"647","prkg2"
"648","gnpat"
"649","nr1i2"
"650","prss8"
"651","sptssb"
"652","vsig10"
"653","kif19"
"654","atp5mc1"
"655","col16a1"
"656","ca5b"
"657","camk2d"
"658","fzd4"
"659","cbr1"
"660","pdcd6ip"
"661","hagh"
"662","mccc2"
"663","h1f0"
"664","gstt1"
"665","anxa2"
"666","atp6v0e1"
"667","fut1"
"668","stmn1"
"669","atp6ap2"
"670","malt1"
"671","gcdh"
"672","gchfr"
"673","bmf"
"674","dnal4"
"675","reep4"
"676","tmem62"
"677","akr1a1"
"678","rell2"
"679","dnajb4"
"680","rph3al"
"681","pklr"
"682","sult1e1"
"683","ttc30a"
"684","rnf128"
"685","galk1"
"686","f10"
"687","aifm3"
"688","tnik"
"689","h2afy"
"690","bcl6"
"691","gbx2.2"
"692","trim2"
"693","mef2a"
"694","eps8l1"
"695","dhcr24"
"696","dnaaf3"
"697","spsb3"
"698","tesc"
"699","psme2"
"700","nadk"
"701","ydjc"
"702","ptgr1.1"
"703","dym"
"704","ugp2"
"705","osbpl2"
"706","rgn"
"707","cep128"
"708","slc2a4"
"709","nlk"
"710","mpc1"
"711","stard5"
"712","cpne1"
"713","lpin3"
"714","fhod1"
"715","cndp1"
"716","tecr"
"717","met"
"718","gsr"
"719","slc50a1"
"720","anxa5"
"721","htatip2"
"722","ubxn6"
"723","ano10"
"724","slc35a3.2"
"725","gpd2"
"726","kiaa1147"
"727","borcs5"
"728","fuca2"
"729","wdr54"
"730","cotl1"
"731","etfa"
"732","ist1"
"733","nudt9"
"734","foxp1"
"735","ppcs"
"736","vill"
"737","flrt2"
"738","tsta3"
"739","hist1h1t"
"740","stat5b"
"741","cmahp"
"742","tjp3"
"743","mbp"
"744","hadha"
"745","por"
"746","ank1"
"747","phkg1"
"748","retsat"
"749","acot13"
"750","bicdl2"
"751","kiz"
"752","jund"
"753","capn1"
"754","abhd12"
"755","cryz"
"756","nudt16"
"757","mvp"
"758","fn3krp"
"759","afg3l1p"
"760","ogdhl"
"761","syne1"
"762","chchd10"
"763","napepld"
"764","bpnt1"
"765","ush1c"
"766","bcat2"
"767","acot12"
"768","daw1"
"769","vmp1"
"770","commd1"
"771","itpk1"
"772","arhgap8"
"773","fam210b"
"774","pmm1"
"775","gmppb"
"776","arhgap18"
"777","ift172"
"778","arhgap30"
"779","tfap2c"
"780","adipor2"
"781","cfap300"
"782","mpv17l"
"783","anxa7"
"784","aspg"
"785","gramd1c"
"786","dlat"
"787","inpp5d"
"788","fbxw9"
"789","krt12"
"790","pam"
"791","mboat1"
"792","pde7a"
"793","tmem184a"
"794","rasal2"
"795","pdzd3"
"796","ttc34"
"797","nxpe2"
"798","cd63"
"799","grhl1"
"800","rnf141"
"801","capn9"
"802","kcna5"
"803","chmp4c"
"804","slc25a13"
"805","cox17"
"806","snx9"
"807","rps6ka1"
"808","tmem98"
"809","mal2"
"810","lxn"
"811","arhgap1"
"812","oaz2"
"813","asb1"
"814","cltb"
"815","ift22"
"816","rabgap1l"
"817","nek7"
"818","dnase1l3"
"819","bcat1"
"820","casp10"
"821","aqp11"
"822","vamp8"
"823","tpte2"
"824","acsf3"
"825","pcsk7"
"826","erbb2"
"827","cyb5a"
"828","s100z"
"829","col4a3bp"
"830","lgalsl"
"831","tmsb4x"
"832","ehd4"
"833","gcnt2"
"834","gla"
"835","trim29"
"836","irf9"
"837","ezr"
"838","pnlip"
"839","larp1b"
"840","slc12a8"
"841","mfsd6l"
"842","gclm"
"843","wfikkn2"
"844","acsm3"
"845","serinc2"
"846","hectd3"
"847","coq10b"
"848","cbs"
"849","pgk1"
"850","c6orf120"
"851","nanp"
"852","fbxo8"
"853","agl"
"854","vtcn1"
"855","ift27"
"856","entpd3"
"857","mfsd4b"
"858","cyth2"
"859","pdhb"
"860","pafah1b3"
"861","upb1"
"862","sptlc3"
"863","tmem246"
"864","mier2"
"865","pcyt1b"
"866","mt4"
"867","cap1"
"868","uqcrc2"
"869","sphk1"
"870","tnfrsf1a"
"871","osbpl8"
"872","aldh9a1"
"873","sema3d"
"874","dbnl"
"875","wnk3"
"876","slc38a5"
"877","rps6ka6"
"878","acadl"
"879","mcub"
"880","ppp3ca"
"881","fam46a"
"882","sephs2"
"883","liph"
"884","entpd6"
"885","acbd5"
"886","scamp2"
"887","hspa12b"
"888","ghr"
"889","rhoc"
"890","capns2"
"891","ifit5"
"892","bsg"
"893","dsp"
"894","sort1"
"895","galnt4"
"896","lnpep"
"897","nmral1"
"898","mgst1"
"899","sord"
"900","stx3"
"901","slc25a29"
"902","dcun1d2"
"903","gpi"
"904","adam7"
"905","kiaa1841"
"906","cmpk1"
"907","herc4"
"908","ift46"
"909","il17ra"
"910","npdc1.1"
"911","bpgm"
"912","tcaf1"
"913","llgl2"
"914","bcdin3d"
"915","pkp3"
"916","prkca"
"917","sh3yl1"
"918","parp11"
"919","frrs1"
"920","abcg2"
"921","glud1"
"922","elovl7"
"923","socs5"
"924","tbxa2r"
"925","trappc9"
"926","rubcnl"
"927","cnksr1"
"928","rpp30"
"929","tmx4"
"930","isoc2"
"931","hspb11"
"932","sptbn2"
"933","fam102a"
"934","aldh16a1"
"935","fkbp1b"
"936","cry2"
"937","uhrf1bp1l"
"938","sptssa"
"939","rtbdn"
"940","cfap298"
"941","tob2"
"942","pgap2"
"943","dynlt3"
"944","gmppa"
"945","irf8"
"946","auh"
"947","urgcp"
"948","wwc1"
"949","naxe"
"950","stx19"
"951","gmds"
"952","rnasek"
"953","mafb"
"954","gjb7"
"955","epb41l4a"
"956","pgrmc1"
"957","coq7"
"958","c1galt1c1"
"959","dnase2"
"960","tfg"
"961","glt1d1"
"962","prkcz"
"963","pqlc2"
