"","x"
"573","pcsk2"
"574","hhip"
"575","klf15"
"576","smim11a"
"577","aldh1a1"
"578","ssbp4"
"579","etv2"
"580","lpin2"
"581","mxi1"
"582","fam57b"
"583","kcna3"
"584","hes1"
"585","tmem163"
"586","sdc3"
"587","rasl11b"
"588","neurog3"
"589","slc7a2.1"
"590","ca13"
"591","colec11"
"592","selenop1"
"593","hoxa1"
"594","gpr146"
"595","ppm1l"
"596","meis2"
"597","serpine2"
"598","col6a2"
"599","krt19"
"600","clip3"
"601","tuba1b"
"602","ncam1"
"603","sulf2"
"604","pmel"
"605","lmo3"
"606","arsk"
"607","sema3c"
"608","atp6v0d2"
"609","adprh"
"610","btg2"
"611","hs6st1"
"612","adcy9"
"613","pou3f1"
"614","cnn2"
"615","ptch1"
"616","col3a1"
"617","ltbp1"
"618","itgbl1"
"619","ddah2"
"620","spock2"
"621","akap2"
"622","fxyd2"
"623","epyc"
"624","wif1"
"625","enah"
"626","gpnmb"
"627","lipg"
"628","gadd45g"
"629","nova1"
"630","tmtc2"
"631","apoe"
"632","c11orf96"
"633","pon2"
"634","hoxa2"
"635","mamdc2"
"636","ndnf"
"637","a2ml1"
"638","vdac1"
"639","cystm1"
"640","tgfb1i1"
"641","tmem37"
"642","slc43a1"
"643","ctdspl"
"644","cgref1"
"645","pax3"
"646","cftr"
"647","flna"
"648","egln3"
"649","dst"
"650","has2"
"651","ano1"
"652","c17orf58"
"653","dbn1"
"654","blvra"
"655","nrip1"
"656","sox5"
"657","pax2"
"658","ddit4"
"659","hmx2"
"660","atp12a"
"661","bcl2l10"
"662","dpysl4"
"663","tbx3"
"664","lrrc58"
"665","cfh"
"666","tubb2b"
"667","enpp2"
"668","nhs"
"669","prss16"
"670","cdh2"
"671","kcna5"
"672","pacs2"
"673","acp5"
"674","npr2"
"675","pde5a"
"676","arrb1"
"677","ddt"
"678","tdh"
"679","gyg2"
"680","gprc5c"
"681","b4galt6"
"682","fam198b"
"683","ctsk"
"684","nsun7"
