"","x"
"484","ybey"
"485","pou2f3"
"486","prodh"
"487","lgals3"
"488","irf3"
"489","tob1"
"490","tmem82"
"491","zmynd10"
"492","c1orf21"
"493","tbc1d14"
"494","slc41a3"
"495","kcnj16"
"496","coro2a"
"497","scp2"
"498","pip5k1b"
"499","myrf"
"500","gas6"
"501","acat1"
"502","naaa"
"503","tlx1"
"504","agtr1"
"505","apoe"
"506","atp6v1f"
"507","efhd1"
"508","cyp2d6"
"509","sdc1"
"510","mtmr14"
"511","gsta1"
"512","ccdc103"
"513","acaa2"
"514","galc"
"515","aldh6a1"
"516","ptpn18"
"517","ribc2"
"518","shroom1"
"519","casp7"
"520","nsf"
"521","echdc3"
"522","sec14l3"
"523","wdr34"
"524","scaper"
"525","ephx2"
"526","phlpp2"
"527","ak8"
"528","chid1"
"529","atp11c"
"530","pgd"
"531","irf1"
"532","dhps"
"533","kiaa1522"
"534","ovch2"
"535","rab24"
"536","herc6"
"537","ccni"
"538","vwa5a"
"539","ndfip2"
"540","suclg1"
"541","prss3"
"542","ablim1"
"543","slc7a4"
"544","irx5"
"545","oxct1"
"546","eepd1"
"547","ap1m2"
"548","fam129b"
"549","rps16"
"550","slc13a3"
"551","sar1b"
"552","rabac1"
"553","hsd11b1"
"554","casq2"
"555","acads"
"556","plpp3"
"557","inpp5a.1"
"558","ell3"
"559","nudt13"
"560","pitrm1"
"561","pmvk"
"562","mpc2"
"563","lyn"
"564","hsd17b4"
"565","fech"
"566","krt5.7"
"567","ubxn10"
"568","ap1s3"
"569","rarres1"
"570","btnl8"
"571","zc2hc1a"
"572","anxa4"
"573","serpinf2"
"574","ldhd"
"575","c1orf159"
"576","gfpt2"
"577","cmtm8"
"578","ahi1"
"579","paqr8"
"580","dgka"
"581","atp6v1b2"
"582","cth"
"583","sfxn3"
"584","capns1"
"585","mgat3"
"586","hsd17b10"
"587","cd38"
"588","ndrg1"
"589","ftmt"
"590","camk2g"
"591","tbxas1"
"592","ptgr2"
"593","dbp"
"594","nedd4l"
"595","lrp2bp"
"596","slc49a3"
"597","pou3f1"
"598","cc2d1b"
"599","atp5mc1"
"600","hagh"
"601","nr1i2"
"602","pcdh20"
"603","mccc2"
"604","agbl5"
"605","pdcd6ip"
"606","erg28"
"607","gnpat"
"608","rnf217"
"609","gstm1"
"610","adad2"
"611","mal"
"612","sptssb"
"613","kif13b"
"614","col16a1"
"615","reep4"
"616","tdh"
"617","stat6"
"618","stmn1"
"619","pkdcc.1"
"620","prss8"
"621","sgsm3"
"622","pacrgl"
"623","atp6v0e1"
"624","gstt1"
"625","pip5k1c"
"626","gcdh"
"627","dnal4"
"628","cfap299"
"629","gchfr"
"630","ca5b"
"631","atp6ap2"
"632","pklr"
"633","tmem62"
"634","akr1a1"
"635","fut1"
"636","meis1"
"637","ttc30a"
"638","tpgs2"
"639","h2afy"
"640","idua"
"641","camk2d"
"642","tnik"
"643","fzd4"
"644","rnf128"
"645","hsd17b13"
"646","galk1"
"647","dym"
"648","cbr1"
"649","dnajb4"
"650","h1f0"
"651","osbpl2"
"652","malt1"
"653","cbx8"
"654","tmem117"
"655","vsig10"
"656","specc1"
"657","cpne1"
"658","rph3al"
"659","hpd"
"660","tesc"
"661","kif19"
"662","lpin3"
"663","ptgr1.1"
"664","mpc1"
"665","rell2"
"666","ugp2"
"667","bcl6"
"668","ydjc"
"669","nadk"
"670","slc50a1"
"671","cndp1"
"672","ano10"
"673","ist1"
"674","anxa2"
"675","aifm3"
"676","slc35a3.2"
"677","nudt9"
"678","mef2a"
"679","kiaa1147"
"680","ubxn6"
"681","borcs5"
"682","etfa"
"683","htatip2"
"684","psme2"
"685","fuca2"
"686","eps8l1"
"687","gfi1b"
"688","fhod1"
"689","ppcs"
"690","ak4"
"691","tsta3"
"692","hadha"
"693","stard5"
"694","por"
"695","retsat"
"696","tjp3"
"697","cep128"
"698","vill"
"699","awat1"
"700","spsb3"
"701","abhd12"
"702","acot13"
"703","prkg2"
"704","jund"
"705","stat5b"
"706","mvp"
"707","anxa5"
"708","gpd2"
"709","bcat2"
"710","ogdhl"
"711","slc2a4"
"712","vmp1"
"713","gsr"
"714","bicdl2"
"715","nlk"
"716","dnaaf3"
"717","cmahp"
"718","flrt2"
"719","cyp27a1"
"720","afg3l1p"
"721","nudt16"
"722","itpk1"
"723","cxcr6"
"724","chchd10"
"725","capn1"
"726","trim2"
"727","napepld"
"728","bpnt1"
"729","commd1"
"730","gmppb"
"731","wdr54"
"732","bmf"
"733","tecr"
"734","aspg"
"735","gramd1c"
"736","arhgap8"
"737","kiz"
"738","adipor2"
"739","inpp5d"
"740","dlat"
"741","met"
"742","fbxw9"
"743","hist1h1t"
"744","syne1"
"745","gstp1"
"746","cotl1"
"747","anxa7"
"748","pmm1"
"749","foxp1"
"750","fam210b"
"751","krt12"
"752","rasal2"
"753","pam"
"754","mboat1"
"755","cox17"
"756","ift172"
"757","snx9"
"758","oaz2"
"759","sult1e1"
"760","nxpe2"
"761","cfap300"
"762","ttc34"
"763","grhl1"
"764","cd63"
"765","cltb"
"766","mpv17l"
"767","arhgap1"
"768","pde7a"
"769","tfap2c"
"770","erbb2"
"771","chmp4c"
"772","nek11"
"773","aqp11"
"774","cyb5a"
"775","daw1"
"776","vamp8"
"777","cryz"
"778","capn9"
"779","slc25a13"
"780","bcat1"
"781","tpte2"
"782","pcsk7"
"783","gclm"
"784","tmem98"
"785","gla"
"786","mal2"
"787","nek7"
"788","ezr"
"789","pnlip"
"790","hectd3"
"791","trim29"
"792","tmem184a"
"793","cbs"
"794","ehd4"
"795","tmsb4x"
"796","fn3krp"
"797","ank1"
"798","f10"
"799","acot12"
"800","mfsd6l"
"801","col4a3bp"
"802","pdhb"
"803","dhcr24"
"804","rabgap1l"
"805","agl"
"806","ift22"
"807","uqcrc2"
"808","lgalsl"
"809","acsm3"
"810","pafah1b3"
"811","coq10b"
"812","c6orf120"
"813","irf9"
"814","slc12a8"
"815","tmem246"
"816","gcnt2"
"817","sptlc3"
"818","pcyt1b"
"819","ift27"
"820","nanp"
"821","aldh9a1"
"822","serinc2"
"823","vtcn1"
"824","sphk1"
"825","dbnl"
"826","arhgap18"
"827","pgk1"
"828","wfikkn2"
"829","tnfrsf1a"
"830","acadl"
"831","mier2"
"832","sephs2"
"833","cyth2"
"834","sema3d"
"835","ppp3ca"
"836","rps6ka1"
"837","mfsd4b"
"838","casp10"
"839","larp1b"
"840","asb1"
"841","cap1"
"842","osbpl8"
"843","mcub"
"844","arhgap30"
"845","rnf141"
"846","acbd5"
"847","slc38a5"
"848","s100z"
"849","lnpep"
"850","slc25a29"
"851","sort1"
"852","kcna5"
"853","mgst1"
"854","acsf3"
"855","scamp2"
"856","palmd"
"857","stx3"
"858","rhoc"
"859","liph"
"860","capns2"
"861","bsg"
"862","wnk3"
"863","galnt4"
"864","herc4"
"865","gpi"
"866","fbxo8"
