"","x"
"472","syn3"
"473","ppm1l"
"474","mab21l3"
"475","adcy9"
"476","ptch1"
"477","ltbp1"
"478","slc17a8"
"479","serpine2"
"480","wnt9a"
"481","wif1"
"482","aldh1a1"
"483","apoe"
"484","crhr1.2"
"485","prox1"
"486","ddc"
"487","plcb1"
"488","enah"
"489","sdc3"
"490","pou3f1"
"491","fam189a2"
"492","ctnna2"
"493","cdh11"
"494","hla-dqa1"
"495","vdac1"
"496","ccdc28b"
"497","sox1"
"498","ndnf"
"499","ednrb"
"500","gria4"
"501","akap2"
"502","klhl17"
"503","nptxr"
"504","stambpl1"
"505","ca2"
"506","gadd45g"
"507","adprh"
"508","tgfb1i1"
"509","crb2"
"510","cfh"
"511","ddit4"
"512","has2"
"513","a2ml1"
"514","wnt6"
"515","cystm1"
"516","dbn1"
"517","syn1"
"518","ano1"
"519","negr1"
"520","hs6st1"
"521","rph3a"
"522","dpysl4"
"523","col3a1"
"524","rab33a"
"525","tubb2b"
"526","clip3"
"527","nrip1"
"528","neurog3"
"529","lipg"
"530","lrrc58"
"531","cerk"
"532","acp5"
"533","pax3"
"534","npr2"
"535","sybu"
"536","ctdspl"
"537","selenop1"
"538","enpp2"
"539","pacs2"
"540","tuba1b"
"541","nova1"
"542","vcan"
"543","itgbl1"
"544","flna"
"545","scrn1"
"546","fst"
"547","tdh"
"548","rgs4"
"549","klf7"
"550","grip2"
"551","slc43a1"
"552","neurog2"
"553","srf"
"554","unc93a"
"555","dcn"
"556","serpinc1"
"557","mamdc2"
"558","fam57b"
"559","ca13"
"560","evl"
"561","gfi1b"
"562","tbx3"
"563","nhs"
"564","rgs20"
"565","abhd8"
"566","parvb"
"567","chga"
"568","egln3"
"569","asb5"
"570","blvra"
"571","pax2"
"572","sema3c"
"573","pam"
"574","ube2d4"
"575","oxr1"
"576","kcna5"
"577","pak3"
"578","kcna3"
"579","nr6a1"
"580","c17orf58"
"581","uaca"
"582","dst"
"583","ddah2"
"584","sox5"
"585","sulf2"
"586","fam171a2"
"587","tac1"
"588","nptn"
"589","pcdh20"
"590","prelid3a"
"591","ptprs"
"592","pde5a"
"593","nrsn1"
"594","gjb2"
"595","kcnc1"
"596","bcl2l10"
"597","colec11"
"598","app"
"599","klhdc8a"
"600","gyg2"
"601","lmo3"
"602","trim3"
"603","tmtc2"
"604","cdh2"
"605","fxyd2"
"606","map3k12"
"607","tpi1"
"608","klf15"
"609","flrt3"
"610","b4galt6"
"611","epb41l4a"
"612","rdh11"
"613","cyr61"
"614","tmem221"
"615","marcksl1"
"616","qsox1"
"617","ndp"
"618","fxr1"
"619","pou3f2"
"620","gprc5c"
"621","dbx2"
"622","hoxa1"
"623","acta2"
"624","miga1"
"625","kcnk5"
"626","olfml3"
"627","art1"
"628","vegfa"
"629","tgfbi"
"630","amer2"
"631","camk2b"
"632","camkv"
"633","olfm2"
"634","prr7"
"635","fads2"
"636","palm"
"637","pdgfa"
"638","sall2"
"639","cnn2"
"640","tmem47"
"641","tmem37"
"642","ankh"
"643","abat"
"644","map2"
"645","ets1"
"646","got1"
"647","ddt"
"648","txnip"
"649","prph"
"650","ak1"
"651","schip1"
"652","pabpc4"
"653","chrnb2"
"654","sgtb"
"655","phc2"
"656","cacfd1"
"657","mkx"
"658","ppp1r1c"
"659","shh"
"660","aldob"
"661","col1a1"
"662","cdon"
"663","mapre2"
"664","rab20"
"665","coq8a"
"666","pitx1"
"667","cpeb4"
"668","slc7a2.1"
"669","ephx1"
"670","hapln3"
"671","vsnl1"
"672","stat5b"
"673","crabp1"
"674","cnot8"
"675","dlc1"
"676","rhog"
"677","epyc"
"678","znf238.2"
"679","fam214a"
"680","id4"
"681","ankrd37"
"682","scg3"
"683","loxl1"
"684","fermt2"
"685","sla2"
"686","ttyh2"
"687","acy1.1"
"688","stom"
"689","cacna1b"
"690","hpd"
"691","ptprd"
"692","gpx7"
"693","tnfrsf11b"
"694","btbd6"
"695","tmem169"
"696","spock2"
"697","mrps2"
"698","atp12a"
"699","grik5"
"700","atp1b3"
"701","susd6"
"702","cyp1a1"
"703","c11orf96"
"704","hmx3"
"705","st3gal3"
"706","arrb1"
"707","foxp1"
"708","upb1"
"709","gucy2c"
