"","x"
"619","anxa8"
"620","ppat"
"621","adh5"
"622","hdac2"
"623","smarca4"
"624","rrm2.2"
"625","fanci"
"626","slbp"
"627","mcm7"
"628","tle1"
"629","kif18b"
"630","hes3.3"
"631","znf367"
"632","prim1"
"633","nts"
"634","mxra8"
"635","smarca5"
"636","lysmd2"
"637","chaf1a"
"638","dact1"
"639","aloxe3"
"640","scg2"
"641","gcm2"
"642","mcm4"
"643","haus6"
"644","pmp22"
"645","ccnd1"
"646","fbn3"
"647","hist2h3d"
"648","asic4"
"649","msn"
"650","pth"
"651","rfc1"
"652","ggh"
"653","rfc4"
"654","pola1"
"655","ccnb2"
"656","cdca7"
"657","odc1"
"658","mtap"
"659","dus1l"
"660","gjc1"
"661","vezf1"
"662","tnnc2"
"663","svop"
"664","amer2"
"665","nes"
"666","foxg1"
"667","cdc6"
"668","c17orf58"
"669","cd276"
"670","tac1"
"671","ccdc88a"
"672","fzd2"
"673","rbms1"
"674","slc4a8"
"675","mki67"
"676","pold3"
"677","wls"
"678","lrat"
"679","pif1"
"680","unc5b"
"681","hbg1"
"682","wdr18"
"683","hoxa4"
"684","abi2"
"685","unc45b"
"686","tle2"
"687","hes3.1"
"688","fancd2"
"689","cdca7l"
"690","tmem178.2"
"691","naif1"
"692","esco2"
"693","tmtc2"
"694","ncapd2"
"695","tfap2b"
"696","cenpk"
"697","cdc25a"
"698","rasgrp1"
"699","btbd6"
"700","anapc4"
"701","cdc7"
"702","twnk"
"703","tmem86a"
"704","arhgap11a.1"
"705","unkl"
"706","clspn"
"707","prim2"
"708","pacs2"
"709","xkr5"
"710","slc27a3"
"711","scube2"
"712","pced1a"
"713","nsd2"
"714","fbxo5"
"715","mybph"
"716","ncapg2"
"717","sinhcaf"
"718","p2ry13"
"719","aplnr"
"720","cln6"
"721","pot1"
"722","mapre2"
"723","tipin"
"724","rbbp4"
"725","dek"
"726","espl1"
"727","kif18a"
"728","cdc45"
"729","pa2g4"
"730","slc30a8"
"731","pold2"
"732","hacd1"
"733","havcr1"
"734","plcd4"
"735","exo1"
"736","prepl"
"737","anp32e"
"738","dusp19"
"739","meaf6"
"740","mfsd2a"
"741","etv1"
"742","rfc2"
"743","e2f4"
"744","wnt10a"
"745","uhrf2"
"746","rrm1"
"747","chrng"
"748","sult1c2"
"749","smtnl2"
"750","ech1"
"751","trim72"
"752","renbp"
"753","nmt1"
"754","blvra"
"755","fibcd1"
"756","marveld1"
"757","mis12"
"758","cenpt"
"759","gnao1"
"760","znf451"
"761","cuedc2"
"762","znf703"
"763","nefm"
"764","gins2"
"765","ncapd3"
"766","aldh2"
"767","mcm2"
"768","terf1"
"769","plat"
"770","rmi1"
"771","pik3r3"
"772","raver1"
"773","kcnab3"
"774","gss"
"775","hnrnpa1"
"776","katnbl1"
"777","serpinf1"
"778","pnliprp1"
"779","csdc2"
"780","mos"
"781","ctdp1"
"782","aurkb"
"783","aoc3"
"784","clns1a"
"785","smpd3"
"786","sox5"
"787","tnnt3"
"788","gli3"
"789","neo1"
"790","rad51ap1"
"791","thbs3"
"792","pcsk2"
"793","fam151b"
"794","fastkd1"
"795","cep85"
"796","gpx1"
"797","gnaq"
"798","fgd6"
"799","sept12"
"800","racgap1"
"801","dhfr"
"802","prtfdc1"
"803","hnrnpu"
"804","c1orf109"
"805","rell1"
"806","sox4"
"807","mcph1"
"808","csrp2"
"809","hsf2"
"810","gtsf1"
"811","ca10"
"812","cln8"
"813","rbm24"
"814","bbs12"
"815","orc1"
"816","cldn6.1"
"817","snx22"
"818","hyal2"
"819","srgap2"
"820","rpa1"
"821","hgd"
"822","hdac9"
"823","dnd1"
"824","scml2"
"825","irs1"
"826","kdm1a"
"827","krt5.2"
"828","tspan33"
"829","fanca"
"830","gypc"
"831","robo3"
"832","plcg1"
"833","snai1"
"834","mthfsd"
"835","cdan1"
"836","plscr1"
"837","mef2c"
"838","smc2"
"839","scnn1b"
"840","ripply3"
"841","cybb"
"842","tyms"
"843","mterf3"
"844","ndc1"
"845","birc5.2"
"846","tor4a"
"847","rcor1"
"848","c19orf44"
"849","setd6"
"850","prmt5"
"851","nat10"
"852","rpa3"
"853","gpam"
"854","ckm"
"855","anp32c"
"856","polg2"
"857","foxm1"
"858","phldb1"
"859","smurf2"
"860","leprotl1"
"861","idh2"
"862","cdon"
"863","cenpv"
"864","ptprr"
"865","ska2"
"866","exosc8"
"867","ubr7"
"868","clip1"
"869","ggact"
"870","ets2"
"871","pdlim4"
"872","cep44"
"873","ssrp1"
"874","rflnb"
"875","tnni1"
"876","mcm5"
"877","nhp2"
"878","srrd"
"879","anp32b"
"880","fam69a"
"881","mettl18"
"882","pabpc4"
"883","bace2"
"884","klf17"
"885","frat1"
"886","pim3"
"887","chtf18"
"888","hnrnpa2b1"
"889","chrd.1"
"890","agpat4"
"891","snd1"
"892","znrf3"
"893","f2"
"894","evx2"
"895","suz12"
"896","fen1"
"897","azin2"
"898","paics.1"
"899","ccnj"
"900","plpp1"
"901","nrbp2"
"902","amph"
"903","rnf219"
"904","col2a1"
"905","gli2"
"906","gpc4"
"907","snrpe"
"908","nipsnap3a"
"909","krr1"
"910","tmem169"
"911","cdc20"
"912","ncaph"
"913","fgfr4"
"914","p2ry11"
"915","actl6a"
"916","enah"
